TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
LUXM4;66,99;9,37;41,34;3,69;2,27;24,63;12,85;8,05;25,91;14,71;0,26;0,04;3,33;19,72;-3,02;1,86;8,93;5,49;7,94;0,61;0,39;0,68;7,04;-0,09;52.269,03;18,14;1,62;-1,18;194.137.020,00
LWSA3;22,83;0,14;677,11;19,83;9,20;42,06;9,05;4,04;302,50;296,35;-6,14;-0,40;27,38;37,45;-20,73;1,79;2,93;1,36;4,13;0,46;0,54;0,34;;;241.674.518,07;1,15;0,03;73,31;13.366.092.254,76
MAPT3;37,00;;-199,99;-5,92;43,98;;;;-201,18;-200,63;0,00;;;-6.799,82;-43,98;0,00;-2,96;-21,99;2,94;-7,43;8,43;0,00;;;14.800,00;-6,25;-0,19;-46,57;33.906.227,00
MAPT4;36,80;;-198,91;-5,88;43,75;;;;-200,09;-200,63;0,00;;;-6.763,07;-43,75;0,00;-2,96;-21,99;2,94;-7,43;8,43;0,00;;;27.094,33;-6,25;-0,19;-46,32;33.906.227,00
MATD3;16,56;;;;;;;;;;;;;;;;;;;;;;;;27.361.033,40;;0,00;;5.874.216.076,08
MBLY3;18,46;;-35,81;2,83;2,11;40,49;-5,46;-8,34;-54,68;-40,38;14,30;-0,74;2,99;3,17;-16,29;4,25;-7,90;-5,88;-4,80;0,74;0,26;0,71;;;3.529.902,80;6,53;-0,52;-1,18;1.965.803.627,84
MDIA3;26,40;1,92;13,94;1,34;0,86;30,34;7,44;9,03;16,92;17,75;0,83;0,07;1,26;2,94;-1,51;3,13;9,61;6,16;5,76;0,64;0,36;0,68;9,43;4,81;45.071.110,93;19,70;1,89;18,10;8.949.600.000,00
MDNE3;8,94;;-7,58;0,76;0,37;27,07;-14,09;-19,50;-10,50;-11,43;-0,94;0,07;1,48;1,64;-0,63;2,12;-10,01;-4,82;-7,37;0,48;0,52;0,25;-8,09;;3.460.505,73;11,78;-1,18;-1,93;759.089.812,50
MEAL3;3,63;;-2,20;0,88;0,38;23,53;-48,27;-41,05;-1,87;-2,11;-0,24;0,12;0,90;3,20;-0,51;1,81;-40,09;-17,20;-37,26;0,43;0,57;0,42;-6,51;;17.024.823,63;4,13;-1,65;0,00;1.036.657.698,60
MELK3;6,00;0,11;29,35;1,04;0,70;22,37;9,40;7,31;22,82;11,44;-11,38;-0,52;2,15;1,15;-6,13;3,15;3,55;2,37;3,28;0,67;0,33;0,32;;;4.167.820,03;5,76;0,20;-4,53;1.247.816.046,00
MERC3;27,11;;55,77;1,97;1,62;79,12;22,22;15,28;38,34;28,25;;;8,52;5,28;-2,66;4,63;3,54;2,90;;0,82;0,18;0,19;-30,32;;89.396,56;13,75;0,49;-1,09;359.753.661,65
MERC4;10,70;;22,01;0,78;0,64;79,12;22,22;15,28;15,13;28,25;;;3,36;2,09;-1,05;4,63;3,54;2,90;;0,82;0,18;0,19;-30,32;;9.500,17;13,75;0,49;-0,43;359.753.661,65
MGEL3;19,13;;-3,57;-0,28;0,28;14,76;14,38;-5,67;1,41;9,56;8,47;;0,20;0,69;-0,69;3,06;-7,73;-7,78;23,17;-1,01;2,01;1,37;5,03;;;-69,31;-5,36;0,00;85.104.138,53
MGEL4;12,26;;-2,29;-0,18;0,18;14,76;14,38;-5,67;0,90;9,56;8,47;;0,13;0,44;-0,44;3,06;-7,73;-7,78;23,17;-1,01;2,01;1,37;5,03;;169.806,07;-69,31;-5,36;0,00;85.104.138,53
MGLU3;19,16;0,26;317,89;17,00;5,05;25,77;2,83;1,34;151,01;149,54;-1,48;-0,17;4,27;36,81;-15,87;1,25;5,35;1,59;8,90;0,30;0,70;1,18;26,58;;524.329.368,97;1,13;0,06;-5,53;124.454.449.139,20
MILS3;8,30;;-440,54;1,90;1,42;39,39;2,67;-0,94;154,52;146,03;-8,49;-0,10;4,13;5,13;-2,26;3,84;-0,43;-0,32;0,45;0,74;0,26;0,34;-2,55;;19.175.433,63;4,36;-0,02;4,93;2.091.236.709,00
MMXM3;18,05;;-1,45;-0,14;0,92;-2,34;-556,64;-31.589,06;-82,18;-255,26;-173,08;;457,47;-0,14;-0,97;0,01;-9,93;-63,22;0,43;-6,37;7,37;0,00;-6,95;;7.238.628,43;-125,54;-12,46;0,04;117.111.703,15
MNDL3;27,50;;-7,61;-0,45;0,06;33,68;9,39;-1,74;1,41;5,32;3,91;;0,13;-0,11;-0,09;0,34;-5,87;-0,81;91,13;-0,14;1,14;0,46;4,94;;46.720,22;-61,60;-3,61;0,56;68.207.150,00
MNPR3;12,89;;5,53;-0,24;0,37;28,27;14,58;6,37;2,42;2,42;0,01;;0,35;-0,23;-0,66;0,21;-4,41;6,78;-8,24;-1,54;2,54;1,06;4,62;;1.023.769,13;-52,92;2,33;-0,04;91.520.289,00
MOAR3;280,00;2,90;-367,08;3,53;2,08;-1,66;-27,33;-8,59;-115,36;-107,36;8,00;-0,24;31,53;6,22;-3,69;4,27;-0,96;-0,57;-7,67;0,59;0,41;0,07;94,65;;87.052,00;79,41;-0,76;3,36;3.430.341.880,00
MODL11;18,01;;;;;;;;;;;;;;;;;;;;;;;;37.486.439,18;;0,00;;4.227.547.333,33
MODL3;12,58;;;;;;;;;;;;;;;;;;;;;;;;1.747.998,00;;0,00;;4.227.547.333,33
MODL4;6,60;;;;;;;;;;;;;;;;;;;;;;;;1.495.518,50;;0,00;;4.227.547.333,33
MOSI3;21,60;0,00;45,27;24,88;12,22;92,13;27,01;26,11;43,77;43,91;0,13;0,08;11,82;57,37;-27,22;1,63;54,96;27,00;38,28;0,49;0,51;1,03;;;29.315.876,20;0,87;0,48;;2.734.468.848,00
MOVI3;16,39;0,90;14,72;2,09;0,38;26,09;17,39;8,58;7,26;16,27;9,01;2,59;1,26;2,50;-0,53;2,08;14,17;2,55;4,64;0,18;0,82;0,30;27,48;10,21;35.023.904,20;7,86;1,11;0,04;4.887.358.578,90
MRFG3;18,53;1,10;3,55;5,68;0,32;17,26;11,56;5,22;1,60;3,84;2,24;7,95;0,19;2,93;-0,58;1,31;160,09;8,91;21,94;0,06;0,90;1,71;28,12;;145.578.926,90;3,26;5,23;0,00;13.174.570.788,76
MRSA3B;41,23;1,51;32,58;3,25;1,26;30,16;26,71;11,94;14,56;12,54;1,85;0,41;3,89;-52,62;-1,51;0,88;9,98;3,87;10,23;0,39;0,61;0,32;2,59;7,78;13.853,00;12,68;1,27;-2,24;10.294.767.465,85
MRSA5B;16,68;4,12;13,18;1,32;0,51;30,16;26,71;11,94;5,89;12,54;1,85;0,41;1,57;-21,29;-0,61;0,88;9,98;3,87;10,23;0,39;0,61;0,32;2,59;7,78;9.900,00;12,68;1,27;-0,91;10.294.767.465,85
MRSA6B;29,62;2,32;23,41;2,34;0,90;30,16;26,71;11,94;10,46;12,54;1,85;0,41;2,79;-37,80;-1,09;0,88;9,98;3,87;10,23;0,39;0,61;0,32;2,59;7,78;5.801,00;12,68;1,27;-1,61;10.294.767.465,85
MRVE3;17,33;4,72;15,21;1,39;0,46;28,20;10,74;8,28;11,72;16,73;5,00;0,59;1,26;1,69;-0,88;2,37;9,12;3,05;5,37;0,33;0,67;0,37;6,89;0,85;68.233.040,70;12,50;1,14;-0,75;8.387.539.323,21
MSPA3;48,00;;-5,61;0,37;0,22;22,36;-65,25;-54,53;-4,69;-5,62;-0,86;0,07;3,06;9,04;-0,23;1,76;-6,63;-3,94;-8,90;0,59;0,41;0,07;-2,17;;13.800,00;129,21;-8,56;-0,11;312.225.541,76
MSPA4;54,19;;-6,33;0,42;0,25;22,36;-65,25;-54,53;-5,29;-5,62;-0,86;0,07;3,45;10,21;-0,26;1,76;-6,63;-3,94;-8,90;0,59;0,41;0,07;-2,17;;16.486,00;129,21;-8,56;-0,13;312.225.541,76
MSRO3;702,50;;17.076,54;360,19;75,79;30,06;15,05;0,90;1.022,20;1.029,27;7,07;2,49;153,79;-1.875,39;-105,58;0,87;2,11;0,44;7,88;0,21;0,79;0,49;14,18;;;1,95;0,04;1.023,48;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;10,69;-6,12;-13,32;0,00;-11,90;-10,56;3,37;0,00;0,00;0,00;0,67;-69,40;-11,19;-21,36;0,16;0,84;0,84;0,14;;;93,61;-64,96;0,00;9.655.368,96
MTIG4;60,01;;-0,92;0,64;0,10;10,69;-6,12;-13,32;-2,01;-11,90;-10,56;3,37;0,12;-0,62;-0,16;0,67;-69,40;-11,19;-21,36;0,16;0,84;0,84;0,14;;45.825,44;93,61;-64,96;0,00;9.655.368,96
MTRE3;11,45;3,90;28,30;1,22;0,91;34,19;8,85;9,54;30,52;13,88;-16,64;-0,66;2,70;1,47;-4,80;4,29;4,30;3,22;3,00;0,75;0,25;0,34;;;7.873.408,13;9,41;0,40;0,25;1.211.121.689,00
MTSA3;34,41;4,91;4,68;1,09;0,76;30,38;18,82;16,54;4,11;3,69;-0,74;-0,20;0,77;1,51;-3,40;2,83;23,32;16,23;13,16;0,70;0,30;0,98;10,62;28,09;;31,53;7,35;0,01;338.642.906,19
MTSA4;39,33;4,73;5,35;1,25;0,87;30,38;18,82;16,54;4,70;3,69;-0,74;-0,20;0,88;1,73;-3,89;2,83;23,32;16,23;13,16;0,70;0,30;0,98;10,62;28,09;228.194,87;31,53;7,35;0,01;338.642.906,19
MULT3;24,07;1,89;17,36;2,30;1,37;73,82;92,51;81,47;15,29;17,34;2,05;0,31;14,15;23,68;-1,66;1,51;13,27;7,91;9,57;0,60;0,40;0,10;0,31;21,64;131.588.620,17;10,45;1,39;0,35;14.544.420.783,75
MWET3;41,00;;3,39;-0,46;0,46;11,17;31,90;17,01;1,81;1,90;0,97;;0,58;-1,09;-0,60;0,37;-13,44;13,53;-27,44;-1,01;2,01;0,80;-0,73;;48.814,22;-89,91;12,09;-0,02;43.506.183,42
MWET4;11,21;;0,93;-0,12;0,13;11,17;31,90;17,01;0,49;1,90;0,97;;0,16;-0,30;-0,17;0,37;-13,44;13,53;-27,44;-1,01;2,01;0,80;-0,73;;383.060,57;-89,91;12,09;-0,01;43.506.183,42
MYPK3;13,88;;-4,34;0,56;0,17;6,45;-2,11;-5,61;-11,55;-30,58;-19,03;0,92;0,24;2,64;-0,29;1,19;-12,93;-3,96;-2,09;0,31;0,69;0,71;5,05;;21.584.811,77;24,74;-3,20;0,02;2.133.628.061,88
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;33,76;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;33,76;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;37,74;27,71;-9,65;0,00;7,56;7,56;8,63;0,00;0,00;0,00;2,20;-39,77;-2,89;1,90;0,07;0,93;0,30;24,40;;;42,74;-16,99;0,00;0,00
NEMO5;52,97;0,06;-3,12;1,24;0,09;37,74;27,71;-9,65;1,09;7,56;7,56;8,63;0,30;0,93;-0,11;2,20;-39,77;-2,89;1,90;0,07;0,93;0,30;24,40;;;42,74;-16,99;-0,01;0,00
NEMO6;0,00;;0,00;0,00;0,00;37,74;27,71;-9,65;0,00;7,56;7,56;8,63;0,00;0,00;0,00;2,20;-39,77;-2,89;1,90;0,07;0,93;0,30;24,40;;;42,74;-16,99;0,00;0,00
NEOE3;16,95;3,62;6,35;0,94;0,28;23,97;16,39;9,51;3,68;8,48;4,79;1,22;0,60;5,59;-0,36;1,33;14,80;4,48;8,38;0,30;0,69;0,47;16,97;50,84;36.364.428,30;18,03;2,67;0,16;20.610.277.271,04
NGRD3;6,81;0,18;102,99;3,52;2,36;65,05;16,52;7,16;44,66;38,11;-6,55;-0,52;7,38;4,97;-5,97;4,63;3,41;2,29;4,19;0,67;0,33;0,32;;;22.860.108,93;1,94;0,07;1,73;1.625.290.467,30
NORD3;21,25;;-207,84;-1,01;8,17;90,77;121,22;-41,64;71,39;90,29;18,90;;86,54;-3,01;-8,76;0,02;-0,48;-3,93;-1,92;-8,13;9,13;0,09;;;136.406,79;-21,14;-0,10;-1,98;140.706.577,50
NRTQ3;0,00;;0,00;0,00;0,00;30,20;18,39;11,87;0,00;-0,69;-0,69;-0,16;0,00;0,00;0,00;3,80;14,95;10,84;15,75;0,72;0,28;0,91;9,55;6,53;;13,19;1,97;0,00;0,00
NTCO3;49,12;;-104,00;2,47;1,11;64,17;2,14;-1,76;85,64;92,58;6,94;0,20;1,83;26,26;-1,60;1,16;-2,37;-1,07;1,25;0,45;0,55;0,61;36,13;;310.621.858,47;19,89;-0,47;0,20;67.924.134.608,88
NUTR3;395,00;;14,73;3,11;0,75;19,50;7,18;4,56;9,37;10,65;1,28;0,43;0,67;2,22;-1,70;2,56;21,10;5,13;18,16;0,24;0,76;1,12;16,61;;280.785,00;127,11;26,82;-0,16;50.537.880,00
ODER4;1,60;16,01;0,15;0,06;0,03;34,98;25,92;20,60;0,12;0,68;0,56;0,30;0,03;0,08;-0,12;2,08;41,79;20,28;25,66;0,49;0,51;0,98;8,36;;37.500,00;25,19;10,52;0,00;18.059.369,60
ODPV3;13,15;4,43;17,70;5,39;3,44;61,88;32,09;22,40;12,36;10,86;-1,50;-0,65;3,97;12,68;-7,54;1,99;30,46;19,42;29,87;0,64;0,36;0,87;7,15;10,22;15.809.658,87;2,44;0,74;0,35;6.986.526.514,80
OFSA3;36,69;1,67;19,53;3,47;1,78;51,58;15,28;12,88;16,46;17,73;1,26;0,27;2,52;4,54;-4,58;2,80;17,75;9,13;11,73;0,51;0,49;0,71;6,45;5,33;1.466.451,93;10,59;1,88;0,19;1.979.389.030,14
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
OIBR3;1,59;;-0,90;1,22;0,13;21,68;-19,51;-113,42;-5,23;-17,46;-12,17;2,84;1,02;0,60;-0,24;1,88;-135,52;-14,26;-15,72;0,11;0,89;0,13;-19,43;;158.475.593,43;1,30;-1,77;-0,05;9.579.172.292,70
OIBR4;2,30;;-1,30;1,76;0,19;21,68;-19,51;-113,42;-7,56;-17,46;-12,17;2,84;1,48;0,87;-0,34;1,88;-135,52;-14,26;-15,72;0,11;0,89;0,13;-19,43;;6.852.314,23;1,30;-1,77;-0,08;9.579.172.292,70
OMGE3;37,01;;660,59;1,99;0,65;39,64;43,24;0,86;13,11;22,44;9,32;1,42;5,67;5,67;-0,79;3,14;0,30;0,10;4,84;0,33;0,66;0,12;50,40;62,86;30.032.738,07;18,58;0,06;-0,35;7.255.297.208,31
OPCT3;7,90;;-69,25;9,99;1,41;19,48;11,06;-3,55;22,23;31,20;8,98;4,03;2,46;21,25;-2,00;1,29;-14,43;-2,03;6,40;0,14;0,86;0,57;;;11.560.796,80;0,79;-0,11;0,21;1.579.680.476,60
ORVR3;23,70;;477,68;20,47;2,52;37,45;26,35;0,90;16,40;19,49;3,09;3,86;4,32;-38,82;-3,29;0,78;4,29;0,53;19,46;0,12;0,88;0,58;;;5.673.278,23;1,16;0,05;21,72;1.693.364.289,00
OSXB3;13,00;;-0,05;-0,01;0,03;100,00;-5.794,61;-8.675,46;-0,07;-7,81;-7,74;;4,08;-0,08;-0,03;0,02;-15,94;-58,50;63,72;-3,67;4,67;0,01;-44,40;;568.707,00;-1.733,99;-276,44;0,00;40.924.494,00
PARD3;19,95;1,34;20,65;3,56;1,33;27,11;13,40;8,47;13,05;13,81;0,76;0,21;1,75;8,65;-2,29;1,57;17,23;6,43;14,10;0,37;0,63;0,76;14,12;8,50;6.631.226,30;5,61;0,97;-1,03;2.613.022.970,25
PATI3;95,99;0,19;9,61;2,90;1,28;17,50;16,43;12,71;7,43;7,37;-0,14;-0,05;1,22;2,56;-6,83;2,60;30,18;13,32;14,13;0,44;0,56;1,05;17,73;75,16;47.529,71;33,09;9,99;0,01;1.772.507.729,25
PATI4;120,00;2,33;12,01;3,63;1,60;17,50;16,43;12,71;9,29;7,37;-0,14;-0,05;1,53;3,20;-8,54;2,60;30,18;13,32;14,13;0,44;0,56;1,05;17,73;75,16;47.329,45;33,09;9,99;0,01;1.772.507.729,25
PCAR3;36,51;5,96;4,05;0,70;0,20;29,16;6,00;5,50;3,72;5,55;1,83;0,35;0,22;-4,73;-0,27;0,87;17,29;4,84;7,96;0,28;0,66;0,88;6,62;;230.563.927,23;52,09;9,01;0,01;9.801.247.280,85
PCAR4;72,11;;8,01;1,38;0,39;29,16;6,00;5,50;7,34;5,55;1,83;0,35;0,44;-9,34;-0,53;0,87;17,29;4,84;7,96;0,28;0,66;0,88;6,62;;;52,09;9,01;0,02;9.801.247.280,85
PDGR3;7,00;;-0,12;-0,01;0,03;34,30;-132,93;-218,36;-0,20;-4,33;-4,13;;0,27;-0,03;-0,16;0,38;-8,44;-26,27;9,12;-3,11;4,11;0,12;-35,22;;1.053.752,90;-667,48;-56,36;0,00;56.468.685,00
PDTC3;8,00;;36,46;6,09;1,67;36,43;10,49;10,17;35,34;36,54;1,19;0,21;3,71;4,82;-7,25;1,82;16,71;4,57;9,30;0,27;0,73;0,45;173,12;;3.520.427,20;1,31;0,22;0,17;627.598.232,00
PEAB3;63,00;47,06;1,74;1,43;0,91;30,66;392,40;256,85;1,14;0,86;-0,30;-0,38;4,48;2,79;-2,47;2,08;82,34;52,47;81,43;0,64;0,36;0,20;-8,83;78,06;84.971,82;43,91;36,15;0,00;828.907.182,39
PEAB4;66,01;49,40;1,83;1,50;0,96;30,66;392,40;256,85;1,20;0,86;-0,30;-0,38;4,69;2,92;-2,59;2,08;82,34;52,47;81,43;0,64;0,36;0,20;-8,83;78,06;30.830,00;43,91;36,15;0,00;828.907.182,39
PETR3;25,55;4,04;46,89;1,07;0,34;45,56;18,24;2,61;6,72;13,40;6,62;1,06;1,23;55,22;-0,39;1,04;2,28;0,72;6,17;0,32;0,68;0,28;-3,29;;485.085.084,07;23,85;0,54;-0,57;337.468.408.364,44
PETR4;26,16;3,03;48,01;1,10;0,35;45,56;18,24;2,61;6,88;13,40;6,62;1,06;1,25;56,53;-0,40;1,04;2,28;0,72;6,17;0,32;0,68;0,28;-3,29;;1.689.778.330,67;23,85;0,54;-0,58;337.468.408.364,44
PETZ3;21,67;0,18;169,78;15,68;4,37;48,33;7,51;3,16;71,43;71,74;0,31;0,07;5,36;47,96;-7,79;1,26;9,24;2,58;11,37;0,28;0,72;0,82;;;83.019.144,10;1,38;0,13;7,17;8.537.789.260,66
PFRM3;6,05;;14,31;0,52;0,20;13,93;2,20;0,95;6,21;8,11;1,90;0,16;0,14;0,80;-0,59;1,61;3,65;1,39;4,52;0,38;0,62;1,46;9,61;;3.170.701,80;11,59;0,42;0,04;749.067.276,65
PGMN3;10,62;;49,08;2,38;0,82;30,92;4,69;1,40;14,65;15,75;1,10;0,18;0,69;3,67;-1,84;1,67;4,86;1,67;10,48;0,34;0,66;1,19;8,17;25,42;10.966.769,40;4,45;0,22;-0,03;4.739.581.742,16
PINE3;0,00;;0,00;0,00;0,00;21,25;-18,97;-9,65;0,00;-1,64;;;0,00;0,00;0,00;0,65;-8,03;-0,46;;0,06;0,94;0,05;4,73;;;5,35;-0,43;0,00;204.675.380,04
PINE4;2,82;;-6,57;0,53;0,03;21,25;-18,97;-9,65;-3,34;-1,64;;;0,63;-0,24;-0,04;0,65;-8,03;-0,46;;0,06;0,94;0,05;4,73;;1.935.552,07;5,35;-0,43;0,15;204.675.380,04
PLAS3;13,90;;-1,65;-0,85;0,28;1,15;-18,61;-24,90;-2,21;-4,09;-1,88;;0,41;-1,33;-0,41;0,60;-51,39;-16,81;352,56;-0,33;1,33;0,68;-5,14;;369.318,57;-16,37;-8,41;0,00;172.713.310,20
PLPL3;6,00;3,26;9,27;5,33;1,27;36,81;16,71;14,67;8,14;8,72;0,57;0,38;1,36;1,63;-21,91;5,92;57,44;13,75;25,06;0,24;0,76;0,94;;;5.338.403,23;1,13;0,65;0,32;1.225.536.000,00
PMAM3;14,81;;-0,75;-1,08;0,18;2,99;-5,35;-20,07;-2,80;-16,05;-13,25;;0,15;-0,26;-0,30;0,38;-145,06;-23,45;-9,10;-0,16;1,16;1,17;-4,39;;18.216.427,93;-13,68;-19,85;0,00;642.811.003,69
PNVL3;18,68;0,73;50,39;2,80;1,29;29,22;3,27;1,99;30,70;33,06;2,36;0,21;1,00;4,05;-3,46;2,03;5,56;2,56;5,37;0,46;0,54;1,28;7,26;4,40;17.183.643,17;6,67;0,37;-1,88;2.829.788.542,10
PNVL4;18,69;0,80;50,42;2,80;1,29;29,22;3,27;1,99;30,72;33,06;2,36;0,21;1,00;4,05;-3,46;2,03;5,56;2,56;5,37;0,46;0,54;1,28;7,26;4,40;324.175,53;6,67;0,37;-1,88;2.829.788.542,10
POMO3;2,51;0,80;31,19;0,92;0,40;15,58;2,58;2,17;26,27;39,60;11,86;0,41;0,68;1,68;-0,85;1,81;2,94;1,28;1,45;0,43;0,56;0,59;5,56;0,36;605.011,03;2,73;0,08;-0,52;2.509.859.904,18
POMO4;2,73;0,73;33,93;1,00;0,43;15,58;2,58;2,17;28,58;39,60;11,86;0,41;0,74;1,82;-0,92;1,81;2,94;1,28;1,45;0,43;0,56;0,59;5,56;0,36;14.570.845,00;2,73;0,08;-0,56;2.509.859.904,18
POSI3;11,22;3,32;8,33;1,54;0,56;20,47;12,67;8,71;5,73;6,52;0,79;0,21;0,73;1,89;-2,59;1,61;18,48;6,76;11,20;0,37;0,63;0,78;3,53;;127.738.716,50;7,29;1,35;0,01;1.590.996.000,00
POWE3;15,40;;44,96;6,22;1,55;10,03;6,46;2,50;17,40;17,63;0,23;0,08;1,12;18,67;-3,79;1,16;13,83;3,45;19,09;0,25;0,75;1,38;;;2.411.216,93;2,48;0,34;-0,78;1.380.684.782,40
PPAR3;14,60;;-11,37;0,02;0,01;;;;-7,45;9,05;16,50;-0,05;;0,43;-0,02;;-0,18;-0,13;-0,28;0,71;0,29;0,00;;;;707,46;-1,28;0,09;1.080.400,00
PPLA11;9,15;;-175,20;5.150,84;47,26;;;;-175,20;-175,20;;;;;-47,26;;-2.940,00;-26,97;;0,01;0,99;0,00;;;75.613,10;0,00;-0,05;1,76;25.754.193,90
PRIO3;18,32;;46,99;3,02;1,72;43,63;48,67;14,66;14,15;13,71;-0,44;-0,09;6,89;9,23;-3,07;1,74;6,42;3,67;13,51;0,57;0,43;0,25;49,72;32,61;415.226.742,50;6,07;0,39;-0,88;16.082.237.771,95
PRNR3;9,33;;-169,68;1,61;1,08;11,21;-1,91;-0,88;-78,25;-68,25;9,99;-0,21;1,50;2,62;-2,75;3,08;-0,95;-0,63;-4,38;0,67;0,33;0,72;;;2.884.625,50;5,81;-0,06;2,61;362.439.029,91
PSSA3;53,17;5,27;9,79;1,98;0,47;100,00;8,48;9,26;10,70;4,62;-6,07;-1,12;0,91;5,26;-1,42;1,15;20,23;4,79;7,37;0,24;0,76;0,52;3,79;11,08;53.857.265,50;26,86;5,43;0,29;17.263.847.802,00
PTBL3;12,08;3,37;14,56;4,47;0,92;34,57;8,68;9,63;16,15;19,62;3,47;0,96;1,40;10,60;-1,67;1,24;30,73;6,30;6,37;0,21;0,79;0,65;4,66;19,48;50.503.903,53;2,70;0,83;0,02;1.866.714.680,88
PTCA11;0,00;;0,00;0,00;0,00;42,91;5,08;4,04;0,00;4,21;4,21;0,53;0,00;0,00;0,00;1,71;9,95;3,51;5,00;0,35;0,65;0,87;62,04;64,28;;13,13;1,31;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;42,91;5,08;4,04;0,00;4,21;4,21;0,53;0,00;0,00;0,00;1,71;9,95;3,51;5,00;0,35;0,65;0,87;62,04;64,28;;13,13;1,31;0,00;0,00
PTNT3;13,00;;32,86;2,06;0,89;14,30;6,27;3,39;17,75;13,54;3,26;0,38;1,11;9,93;-1,68;1,24;6,28;2,71;6,34;0,43;0,57;0,80;1,60;-29,08;958.654,10;6,30;0,40;-1,03;361.961.919,20
PTNT4;4,80;;12,13;0,76;0,33;14,30;6,27;3,39;6,55;13,54;3,26;0,38;0,41;3,67;-0,62;1,24;6,28;2,71;6,34;0,43;0,57;0,80;1,60;-29,08;139.582,83;6,30;0,40;-0,38;361.961.919,20
QUAL3;26,95;8,55;19,48;4,53;1,73;81,59;30,07;19,35;12,54;13,54;1,00;0,36;3,77;15,55;-2,75;1,43;23,26;8,90;14,89;0,38;0,62;0,46;3,21;10,41;79.730.615,07;5,93;1,38;-116,79;7.639.985.342,50
QUSW3;0,00;;0,00;0,00;0,00;30,60;16,80;8,40;0,00;0,33;0,33;0,14;0,00;0,00;0,00;1,19;20,73;9,63;18,55;0,46;0,54;1,15;15,13;6,21;;61,97;12,85;0,00;0,00
QVQP3B;0,00;;0,00;0,00;0,00;;;;0,00;1,14;1,14;-0,97;;0,00;;;-84,00;-84,00;-85,33;1,00;0,00;0,00;;;;0,00;0,00;0,00;0,00
RADL3;25,88;0,45;88,25;9,66;3,09;29,36;4,56;2,41;46,67;47,52;0,84;0,17;2,13;19,26;-6,28;1,46;10,95;3,50;13,08;0,32;0,68;1,45;17,66;7,84;135.725.170,27;2,68;0,29;-2,37;42.751.948.400,00
RAIL3;20,94;;130,66;2,54;0,85;32,22;27,97;4,27;19,93;26,15;6,23;0,79;5,57;6,38;-1,11;2,25;1,94;0,65;5,05;0,33;0,67;0,15;10,92;;166.522.103,70;8,25;0,16;-2,11;38.807.543.495,63
RANI3;7,96;3,09;15,54;2,42;1,08;32,92;18,84;11,44;9,44;10,44;1,00;0,26;1,78;3,31;-1,95;3,64;15,60;6,92;11,95;0,44;0,56;0,61;6,30;184,81;22.455.652,07;3,28;0,51;-0,05;2.043.493.070,60
RANI4;5,50;1,06;10,74;1,68;0,74;32,92;18,84;11,44;6,52;10,44;1,00;0,26;1,23;2,28;-1,35;3,64;15,60;6,92;11,95;0,44;0,56;0,61;6,30;184,81;644.391,25;3,28;0,51;-0,03;2.043.493.070,60
RAPT3;12,33;4,93;6,41;1,60;0,47;25,18;18,92;12,39;4,20;5,80;1,13;0,43;0,80;1,88;-1,16;1,75;24,95;7,40;9,99;0,30;0,70;0,60;11,59;;277.742,70;7,70;1,92;0,04;4.731.106.700,25
RAPT4;14,42;4,21;7,50;1,87;0,56;25,18;18,92;12,39;4,92;5,80;1,13;0,43;0,93;2,20;-1,36;1,75;24,95;7,40;9,99;0,30;0,70;0,60;11,59;;40.316.050,57;7,70;1,92;0,04;4.731.106.700,25
RCSL3;7,86;;-436,29;-10,09;10,70;19,77;2,32;-4,79;900,26;421,22;-6,11;;20,90;-1.246,80;-23,36;0,98;-2,31;-2,45;-1,12;-1,06;2,06;0,51;117,05;;16.883.710,47;-0,78;-0,02;7,21;282.898.146,60
RCSL4;1,65;;-91,59;-2,12;2,25;19,77;2,32;-4,79;188,99;421,22;-6,11;;4,39;-261,73;-4,90;0,98;-2,31;-2,45;-1,12;-1,06;2,06;0,51;117,05;;5.661.288,60;-0,78;-0,02;1,51;282.898.146,60
